trial,update,trajectories_seen,loss,srsa_euclidean,srsa_geodesic,decode_error,participation_ratio,spatial_info,fraction_tuned,sw_dist,rdm_frobenius_delta,aliasing_score,geo_euclidean_discrepancy,betti_0,betti_1,persistence_gap_ratio_dim1,betti_correct,replay_fraction_consistent,replay_forward_reverse_ratio
50,50,nan,0.08977840095758438,0.2257168128452167,0.2358583280855672,8.33166217803955,6.717569575732822,0.00424637645483017,0.61328125,0.004359596408903599,0.0,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.9920318725099602
100,100,nan,0.0766102597117424,0.309417458674405,0.3164993715254314,8.262340545654297,2.7027354634839873,0.01037711463868618,0.59765625,0.006813371554017067,2.017126789416616,0.6385644325607308,1.2498571872711182,1,98,1.4262121677985133,False,1.0,1.0161290322580645
150,150,nan,0.06112780049443245,0.3179059518515994,0.321266485617351,8.349827766418457,1.5634250980277797,0.020767776295542717,0.6328125,0.006691039074212313,1.2476587164485522,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0
200,200,nan,0.06162255257368088,0.31786276999826796,0.32550935582292906,8.126112937927246,1.3358512041099075,0.06831285357475281,0.578125,0.0061158486641943455,1.8318744155135243,0.6385644325607308,1.2498571872711182,1,108,1.055572730134491,False,1.0,0.9841269841269841
50,50,nan,0.09226086735725403,0.09492284884591565,0.10019888077738831,5.718127250671387,6.754432802078095,0.3680250644683838,0.62109375,0.006764232646673918,0.0,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.0491803278688525
100,100,nan,0.07801169902086258,0.16975255968098393,0.18021851923867038,5.756753921508789,5.872181317672048,0.07472559809684753,0.66015625,0.005741399712860584,0.2575080413291528,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,1.053388090349076
100,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6385644325607308,1.2498571872711182,1,115,1.173930323434105,False,nan,nan
150,150,nan,0.06281068921089172,0.2856965911181074,0.29338775384197613,5.611478328704834,2.0638503999634303,0.13913504779338837,0.640625,0.008215776644647121,2.4180683268474383,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.941747572815534
200,200,nan,0.06303942948579788,0.3138606169469336,0.3222434636064241,5.0875654220581055,1.478061843956479,0.42116695642471313,0.55859375,0.005462009459733963,2.8066708611021944,0.6385644325607308,1.2498571872711182,nan,nan,nan,nan,1.0,0.968503937007874
200,200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6385644325607308,1.2498571872711182,1,98,1.245751955835886,False,nan,nan
